##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): June 2, 2015, 12:40 a.m.
## Download Date (Y/M/D): 2015/06/05
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;inclNoJust&quot;:true,&quot;etvlong&quot;:true,&quot;campaign&quot;:[&quot;-2&quot;],&quot;inclFPlinked&quot;:true,&quot;inclHasSource&quot;:true,&quot;kics&quot;:[],&quot;cols&quot;:[&quot;pdepth&quot;,&quot;scdata&quot;,&quot;bjd0&quot;,&quot;glat&quot;,&quot;morph&quot;,&quot;swidth&quot;,&quot;ra&quot;,&quot;lcdata&quot;,&quot;figs&quot;,&quot;flags&quot;,&quot;sep&quot;,&quot;sigma&quot;,&quot;sdepth&quot;,&quot;keff&quot;,&quot;kic&quot;,&quot;p&quot;,&quot;pwidth&quot;,&quot;dec&quot;,&quot;kmag&quot;,&quot;glon&quot;],&quot;etvshort&quot;:true,&quot;inclFPnotlinked&quot;:true,&quot;incat1&quot;:true,&quot;inclHasJust&quot;:true,&quot;inclNoSource&quot;:true,&quot;kois&quot;:[]}
##
#KIC,period,bjd0,pdepth,sdepth,pwidth,swidth,sep,sigma,morph,Teff,kmag,RA,DEC,GLon,GLat,SC,
9272276,0.2806130,54953.700247,0.1825,0.1799,0.1498,0.1702,0.5013,0.0140,0.78,5560.0000,13.1600,287.7477,45.7214,76.6138,15.8738,False,
9527167,0.2808953,55002.154036,0.0495,0.0453,0.2664,0.2622,0.4739,0.0045,0.97,5412.0000,15.5230,292.1836,46.1593,78.3310,13.2389,False,
9179806,0.2809633,54964.812270,0.1519,0.1243,0.1920,0.1742,0.5064,0.0103,0.83,5189.0000,15.1730,299.9919,45.5208,80.3704,8.1437,False,
7272739,0.2811646,54964.852294,0.3846,0.3169,0.0887,0.1265,0.4990,0.0179,0.75,5192.0000,12.9610,288.8572,42.8125,74.1809,13.9852,True,
10600319,0.2815156,54964.869017,0.0252,0.0276,0.2398,0.2710,0.5260,0.0028,0.94,4848.0000,14.9410,291.9940,47.8977,79.8916,14.0986,False,
5218385,0.2815375,54964.580677,0.0493,0.0463,0.1784,0.0928,0.4986,0.0028,0.77,5260.0000,14.6160,299.0674,40.3843,75.5737,6.0973,False,
7269797,0.2817924,54964.708488,0.2070,0.1876,0.1902,0.1670,0.5070,0.0156,0.85,5163.0000,15.6370,287.6995,42.8447,73.8569,14.7748,False,
5891963,0.2819600,54949.819126,0.0071,0.0084,0.2389,0.2734,0.4660,0.0015,0.95,5526.0000,13.6020,296.1734,41.1401,75.1356,8.3747,False,
7199353,0.2819867,54964.814394,0.3444,0.2918,0.1303,0.1208,0.4992,0.0174,0.77,5166.0000,14.4900,291.4849,42.7378,74.9482,12.2056,False,
10350225,0.2820697,54964.827478,0.2119,0.1136,0.2020,0.1690,0.5038,0.0280,0.80,5455.0000,14.7810,295.8023,47.4399,80.6392,11.5978,False,
8626039,0.2828906,55000.053132,0.1502,0.1451,0.1996,0.1420,0.5035,0.0128,0.84,-1.0000,16.8210,292.2768,44.7192,77.0292,12.5548,False,
6267702,0.2831963,54999.950505,0.0739,0.0583,0.2851,0.2587,0.5169,0.0083,0.90,5065.0000,15.5930,285.0034,41.6413,71.9027,16.1472,False,
1433410,0.2832752,54999.951811,0.1268,0.1292,0.1137,0.1398,0.4999,0.0061,0.73,6003.0000,14.1190,291.6377,37.0823,69.8401,9.5895,False,
8242493,0.2832856,54964.621844,0.2778,0.2442,0.1398,0.1224,0.4994,0.0146,0.73,4985.0000,14.6970,294.9713,44.1830,77.4263,10.5964,False,
6929869,0.2836920,55000.097986,0.0767,0.0698,0.2630,0.2694,0.5072,0.0064,0.97,4992.0000,15.5360,284.9426,42.4373,72.6536,16.4882,False,
7440742,0.2839922,54949.928411,0.0232,0.0191,0.1106,0.1442,0.5009,0.0011,0.71,4834.0000,11.8310,290.5139,43.0098,74.8861,12.9650,False,
9533706,0.2841181,55002.123818,0.4253,0.3970,0.1936,0.1668,0.5021,0.0205,0.77,5675.0000,15.4310,294.7610,46.1849,79.1668,11.6515,False,
4241946,0.2843840,54999.914195,0.4922,0.4715,0.1496,0.1159,0.4980,0.0239,0.74,4663.0000,15.7950,284.9025,39.3474,69.6698,15.3414,False,
11405559,0.2849367,54964.844590,0.4119,0.3525,0.1405,0.0968,0.4992,0.0217,0.74,5232.0000,13.6920,293.2256,49.2426,81.5037,13.9368,False,
